month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI,color,sec_deriv_delta_6m
Abr-79,55.1,48.4,expansion,-0.017825312,-0.010771993,-0.021314387,0,0,0,orange,-0.019535028
May-79,55.4,48.7,expansion,0.005444646,-0.003597122,-0.010714286,1,0,0,orange,0.010600101
Jun-79,55.1,48.7,expansion,-0.005415162,-0.017825312,-0.016071429,0,0,0,orange,-0.005357143000000002
Jul-79,54.7,48.7,expansion,-0.007259528,-0.007259528,-0.017953321,0,0,0,orange,-0.0018818919999999996
Ago-79,54.4,48.7,expansion,-0.005484461,-0.018050542,-0.021582734,0,0,0,orange,-0.003629412999999998
Set-79,54.2,48.6,expansion,-0.003676471,-0.016333938,-0.033868093,0,0,0,red,-0.012285359000000003
Oct-79,53.7,48.7,expansion,-0.009225092,-0.018281536,-0.025408348,0,0,0,red,0.008459745000000001
Nov-79,53.0,48.8,expansion,-0.013035382,-0.025735294,-0.0433213,0,0,0,red,-0.017912952
Dic-79,52.6,48.8,expansion,-0.00754717,-0.029520295,-0.045372051,0,0,0,red,-0.0020507509999999965
Ene-80,52.5,48.9,expansion,-0.001901141,-0.022346369,-0.040219378,0,0,0,red,0.0051526729999999965
Feb-80,52.4,48.8,contraction,-0.001904762,-0.011320755,-0.036764706,0,0,0,red,0.003454671999999999
Mar-80,51.1,48.5,contraction,-0.02480916,-0.02851711,-0.057195572,0,0,0,red,-0.020430866
Abr-80,49.5,48.1,contraction,-0.031311155,-0.057142857,-0.078212291,0,0,0,red,-0.021016719000000003
May-80,48.9,47.6,contraction,-0.012121212,-0.066793893,-0.077358491,0,0,0,red,0.0008538000000000018
Jun-80,49.1,47.5,contraction,0.00408998,-0.039138943,-0.066539924,1,0,0,red,0.010818567000000001
Jul-80,49.5,47.4,contraction,0.00814664,0.0,-0.057142857,1,0,0,red,0.009397067000000002
Ago-80,49.9,47.6,expansion,0.008080808,0.020449898,-0.047709924,1,1,0,light green,0.009432932999999998
Set-80,50.3,48.0,expansion,0.008016032,0.024439919,-0.015655577,1,1,0,light green,0.032054347
Oct-80,50.7,48.5,expansion,0.007952286,0.024242424,0.024242424,1,1,1,light green,0.039898001
Nov-80,50.8,48.8,expansion,0.001972387,0.018036072,0.038854806,1,1,1,light green,0.014612382
Dic-80,50.5,49.0,expansion,-0.005905512,0.003976143,0.028513238,0,1,1,light green,-0.010341567999999999
Ene-81,49.9,48.9,expansion,-0.011881188,-0.015779093,0.008080808,0,0,1,light green,-0.02043243
Feb-81,49.6,48.8,expansion,-0.006012024,-0.023622047,-0.006012024,0,0,0,orange,-0.014092832
Mar-81,49.7,48.8,expansion,0.002016129,-0.015841584,-0.011928429,1,0,0,orange,-0.0059164050000000004
Abr-81,50.0,48.8,expansion,0.006036217,0.002004008,-0.013806706,1,1,0,orange,-0.0018782769999999994
May-81,49.7,48.9,expansion,-0.006,0.002016129,-0.021653543,0,1,0,orange,-0.007846837
Jun-81,49.3,49.0,expansion,-0.00804829,-0.00804829,-0.023762376,0,0,0,orange,-0.002108833000000001
