Period,Date,stage,GSPC,SHY,IEF,TLT,GLD,DBC,IGLB
1,04/10/1977,dark green,-0.007339251,,,,,,
1,05/10/1977,dark green,-0.003644678,,,,,,
1,06/10/1977,dark green,0.003867085,,,,,,
1,07/10/1977,dark green,-0.000832919,,,,,,
1,10/10/1977,dark green,-0.002292396,,,,,,
1,11/10/1977,dark green,-0.008563965,,,,,,
1,12/10/1977,dark green,-0.009375323,,,,,,
1,13/10/1977,dark green,-0.006167608,,,,,,
1,14/10/1977,dark green,0.00106996,,,,,,
1,17/10/1977,dark green,-0.00096191,,,,,,
1,18/10/1977,dark green,-0.000107009,,,,,,
1,19/10/1977,dark green,-0.011555765,,,,,,
1,20/10/1977,dark green,0.003139218,,,,,,
1,21/10/1977,dark green,-0.003776826,,,,,,
1,24/10/1977,dark green,-0.00747403,,,,,,
1,25/10/1977,dark green,-0.006875448,,,,,,
1,26/10/1977,dark green,0.012087895,,,,,,
1,27/10/1977,dark green,0.00260584,,,,,,
1,28/10/1977,dark green,0.002924023,,,,,,
1,31/10/1977,dark green,-0.002915498,,,,,,
1,01/11/1977,dark green,-0.010721225,,,,,,
1,02/11/1977,dark green,-0.007006014,,,,,,
1,03/11/1977,dark green,0.000551241,,,,,,
1,04/11/1977,dark green,0.009034813,,,,,,
1,07/11/1977,dark green,0.007752774,,,,,,
1,08/11/1977,dark green,0.001842,,,,,,
1,09/11/1977,dark green,0.0056241,,,,,,
1,10/11/1977,dark green,0.018606105,,,,,,
1,11/11/1977,dark green,0.0134094,,,,,,
1,14/11/1977,dark green,-0.006876471,,,,,,
1,15/11/1977,dark green,0.006399503,,,,,,
